id,zipcode,floors,housetype,garage,lotarea,livingarea,Nbathroom,yearbuilt,yrremodeled,yearsale,monthsale,price
1,27131,1,Bungalow,,1386,692,1,1976,,1996,1,162000
2,27131,2,Town,198,1950,1963,3,1977,,1996,8,359500
3,27134,2,Town,,706,1053,1,1960,1986,2001,10,131500
4,27119,3,Cottage,,1189,1808,3,1976,,2001,10,318000
5,27119,2,Detached,245,2330,2845,2,1966,,1999,8,470000
6,27137,2,Town,,928,1058,2,1969,,2003,10,202000
7,27137,2,Cottage,229,2320,2521,2,1971,1985,1997,2,520500
8,27133,3,Cottage,,1750,2497,3,1971,,1997,3,420500
9,27133,2,Cottage,,1415,2397,2,1976,,2002,4,297500
10,27115,2,Farm,,1367,1380,1,1984,,2004,11,416500
11,27131,1,Bungalow,,1084,749,1,1989,,1997,9,197000
12,27133,1,Bungalow,,1238,900,1,1985,,2003,2,167000
13,27119,3,Cottage,300,2390,4446,3,1963,,1996,9,588000
14,27133,3,Cottage,,893,1530,3,1961,1985,1996,1,265000
15,27137,2,Town,,1237,1408,2,1984,,1999,11,297000
16,27134,2,Detached,,1571,2209,2,1973,,2000,10,271500
17,27121,2,Cottage,,1693,2541,2,1989,,2002,2,657000
18,27137,3,Cottage,201,1760,2832,3,1983,,2003,7,584500
19,27134,2,Ranch,,1008,1504,2,1971,,2000,7,164500
20,27137,2,Cottage,,834,1340,2,1979,,1996,4,225500
21,27137,1,Bungalow,,1482,1023,1,1972,,2003,11,238500
22,27133,2,Detached,,1569,2199,2,1971,,2002,10,259000
23,27134,2,Farm,,1356,1846,2,1979,,2004,1,252000
24,27133,1,Bungalow,,1207,778,1,1960,,2003,6,104000
25,27134,2,Town,,1364,2231,1,1979,,2003,5,292500
26,27137,2,Detached,,1650,1823,1,1967,1984,2001,10,375000
27,27137,2,Cottage,,1372,1768,2,1964,1982,1999,1,288000
28,27137,2,Ranch,,1361,1354,2,1982,,1996,8,306000
29,27115,3,Detached,,2203,2767,3,1982,,1996,2,709000
30,27119,2,Detached,,1904,2258,2,1963,1982,2001,10,425500
31,27121,3,Detached,254,3465,4750,3,1977,,1998,4,970500
32,27134,2,Town,,748,1262,2,1974,,2001,3,148500
33,27133,1,Bungalow,,779,503,1,1976,,2004,11,84500
34,27115,1,Bungalow,303,2314,1160,1,1978,,1996,1,366000
35,27127,2,Farm,,934,1391,2,1981,,2002,1,166500
36,27115,2,Detached,427,4604,3456,2,1967,,1995,1,743500
37,27121,2,Detached,314,3301,2883,2,1987,,2004,4,843000
38,27137,2,Detached,,2083,2056,1,1987,,1997,1,514500
39,27131,2,Town,282,2244,2829,2,1985,,2002,9,669500
40,27133,2,Cottage,,1632,2232,2,1963,1986,2002,2,282500
41,27137,3,Town,197,2024,3333,3,1979,,2002,10,647500
42,27119,1,Bungalow,263,2645,1256,1,1981,,1999,2,357500
43,27127,1,Bungalow,,1388,1033,1,1960,,2004,9,119000
44,27119,2,Cottage,,1062,1474,2,1984,,2001,5,333000
45,27133,2,Detached,207,1717,1699,2,1974,,1998,4,356500
46,27133,2,Cottage,,993,1304,2,1968,1989,1999,8,165000
47,27133,2,Detached,,1022,1340,2,1984,,2002,9,202000
48,27119,1,Bungalow,,964,591,1,1982,,1999,1,163000
49,27127,2,Farm,,1188,2021,2,1964,1979,1996,10,201000
50,27131,2,Farm,208,2144,2846,3,1989,,2001,7,614000
51,27134,1,Bungalow,,1120,861,1,1967,1986,2001,1,131000
52,27137,2,Cottage,,1235,1579,2,1970,,2001,10,290500
53,27137,1,Bungalow,,929,619,1,1983,,1995,5,162000
54,27131,2,Farm,,1124,1564,1,1988,,2000,4,350000
55,27131,2,Ranch,271,1842,2329,1,1970,1987,2001,4,434000
56,27134,2,Town,,1673,2361,2,1969,,2002,8,270500
57,27115,1,Bungalow,275,2004,1183,1,1976,,1997,1,325500
58,27115,3,Detached,273,2747,3169,3,1968,,2000,1,652000
